Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,,,,,,
12/04/2019,10:15,Doncaster,Here with family,,4,Yes,Car,"Visit cafe, Pick fruit",,25-34,£50-59.99,Clean toilets,,,,,,
12/04/2019,11:00,Manchester ,Here with family,Northern Ireland,4,Yes,Car,"Visit cafe, Pick fruit, Visit shop","organic fruit or vegetables, Fresh food from the delicatessen, Sunrise Farm Jam or Chutney",Over 65,£20-29.99,Sunshine!!,,,,,,
12/04/2019,15:00,Selby,Here with children,Lithuania,5,No,Bus,"Visit cafe, Pick fruit, Visit shop","organic fruit or vegetables, Sunrise Farm Jam or Chutney, Clothing",25-34,£10-19.99,,,,,,,
13/04/2019,11:15,Doncaster,Here with family,Wales,More than 5,Yes,Car,"Visit cafe, Visit shop",organic ice cream,18-24,£0-9.99,,,,,,,
13/04/2019,11:35,Selby,Here with children,,3,No,Car,"Pick fruit, Visit shop","organic fruit or vegetables, organic sweets, snacks or biscuits",35-44,£20-29.99,,,,,,,
13/04/2019,13:00,York,Here with children,,5,Yes,Car,"Visit cafe, Pick fruit, Visit shop","organic ice cream, organic sweets, snacks or biscuits, Clothing",45-54,£30-39.99,More undercover seating areas as it rained a lot!,,,,,,
14/04/2019,10:30,Selby,Here with family,England,2,Yes,Car,"Visit cafe, Pick fruit, Visit shop","organic fruit or vegetables, organic beverages or alcohol, organic ice cream, organic sweets, snacks or biscuits, Sunrise Farm Jam or Chutney, Home or decoration items, Clothing",18-24,£60-69.99,More variety of ice cream flavours!,,,,,,
14/04/2019,11:45,Whitby,Here with family,England,3,Yes,Car,"Visit cafe, Visit shop","organic beverages or alcohol, organic ice cream, organic sweets, snacks or biscuits",45-54,£50-59.99,"Daughter wanted to pet the piglets, so some form of access would be cool (she enjoyed Holme Farm where the kids can interact with rabbits and lambs)",,,,,,
14/04/2019,15:00,Leeds,Alone,,,No,Car,Visit shop,"organic fruit or vegetables, organic beverages or alcohol, organic sweets, snacks or biscuits, Fresh organic farm meat, Sunrise Farm Jam or Chutney",45-54,£50-59.99,It would be lovely if you could start doing birthday cards? Maybe a collaboration with a local artist?,,,,,,
15/04/2019,12:30,Selby,Here with family,England,4,Yes,Car,"Visit cafe, Visit shop","organic ice cream, organic sweets, snacks or biscuits, Home or decoration items",45-54,£30-39.99,Natural soaps available in the shops,,,,,,
